model,method,idx,size,jobs,machines,feasible,true_makespan,pred_makespan,gap_pct,exact_makespan,ops_emitted,ops_expected,extra_ops,precedence_violations,routing_order_violations,timing_consistency_violations,machine_capacity_violations,missing_op_count,total_violations,gen_tokens,time_s
llama,rsLoRA,48,10x4,10,4,1,2597,2599,0.08,0,40,40,0,0,0,0,0,0,0,524,7.0
llama,rsLoRA,49,7x7,7,7,1,2987,3403,13.93,0,49,49,0,0,0,0,0,0,0,663,8.9
llama,rsLoRA,50,6x6,6,6,1,2590,2795,7.92,0,36,36,0,0,0,0,0,0,0,477,6.4
llama,rsLoRA,51,9x2,9,2,1,1430,1430,0.0,1,18,18,0,0,0,0,0,0,0,222,3.0
llama,rsLoRA,52,4x3,4,3,1,435,435,0.0,1,12,12,0,0,0,0,0,0,0,147,2.0
llama,rsLoRA,53,10x2,10,2,1,1598,1598,0.0,1,20,20,0,0,0,0,0,0,0,251,3.3
llama,rsLoRA,54,9x8,9,8,1,422,522,23.7,0,72,72,0,0,0,0,0,0,0,867,11.9
llama,rsLoRA,55,7x5,7,5,1,1365,1372,0.51,0,35,35,0,0,0,0,0,0,0,440,5.9
llama,rsLoRA,56,10x10,10,10,1,1077,1131,5.01,0,100,100,0,0,0,0,0,0,0,1218,17.2
llama,rsLoRA,57,10x9,10,9,1,242,352,45.45,0,97,90,0,0,0,0,0,0,0,1167,16.3
llama,rsLoRA,58,6x2,6,2,1,727,727,0.0,1,12,12,0,0,0,0,0,0,0,147,2.0
llama,rsLoRA,59,7x3,7,3,1,861,918,6.62,0,21,21,0,0,0,0,0,0,0,255,3.4
llama,rsLoRA,60,10x10,10,10,0,2466,3160,28.14,0,100,100,0,0,1,0,0,2,3,1316,18.6
llama,rsLoRA,61,6x4,6,4,1,693,755,8.95,0,24,24,0,0,0,0,0,0,0,291,3.9
llama,rsLoRA,62,7x7,7,7,1,1466,1626,10.91,0,49,49,0,0,0,0,0,0,0,630,8.5
llama,rsLoRA,63,6x3,6,3,1,45,45,0.0,1,18,18,0,0,0,0,0,0,0,219,2.9
llama,rsLoRA,64,7x6,7,6,1,1819,2013,10.67,0,42,42,0,0,0,0,0,0,0,545,7.3
llama,rsLoRA,65,10x6,10,6,1,591,762,28.93,0,60,60,0,0,0,0,0,0,0,723,9.8
llama,rsLoRA,66,10x8,10,8,1,532,649,21.99,0,81,80,0,0,0,0,0,0,0,975,13.5
llama,rsLoRA,67,6x6,6,6,1,1064,1238,16.35,0,36,36,0,0,0,0,0,0,0,442,5.9
llama,rsLoRA,68,6x3,6,3,1,1157,1324,14.43,0,18,18,0,0,0,0,0,0,0,222,3.0
llama,rsLoRA,69,3x2,3,2,1,1121,1121,0.0,1,6,6,0,0,0,0,0,0,0,77,1.1
llama,rsLoRA,70,5x2,5,2,1,545,720,32.11,0,10,10,0,0,0,0,0,0,0,123,1.7
llama,rsLoRA,71,5x5,5,5,1,1016,1218,19.88,0,25,25,0,0,0,0,0,0,0,305,4.1
llama,rsLoRA,72,7x2,7,2,1,674,712,5.64,0,14,14,0,0,0,0,0,0,0,171,2.3
llama,rsLoRA,73,6x5,6,5,1,340,351,3.24,0,30,30,0,0,0,0,0,0,0,363,4.8
llama,rsLoRA,74,6x5,6,5,1,329,363,10.33,0,30,30,0,0,0,0,0,0,0,363,4.8
llama,rsLoRA,75,5x2,5,2,1,1621,1621,0.0,1,10,10,0,0,0,0,0,0,0,126,1.7
llama,rsLoRA,76,5x5,5,5,1,744,823,10.62,0,25,25,0,0,0,0,0,0,0,303,4.0
llama,rsLoRA,77,10x8,10,8,0,2435,2972,22.05,0,83,80,0,0,2,0,0,0,2,1099,15.3
llama,rsLoRA,78,2x2,2,2,1,698,698,0.0,1,4,4,0,0,0,0,0,0,0,51,0.7
llama,rsLoRA,79,8x6,8,6,1,1414,1657,17.19,0,48,48,0,0,0,0,0,0,0,607,8.2
llama,rsLoRA,80,8x5,8,5,1,2241,2314,3.26,0,40,40,0,0,0,0,0,0,0,524,7.0
llama,rsLoRA,81,3x2,3,2,1,364,364,0.0,1,6,6,0,0,0,0,0,0,0,75,1.0
llama,rsLoRA,82,10x8,10,8,0,4012,4417,10.09,0,78,80,0,0,5,2,1,2,10,1073,14.9
llama,rsLoRA,83,4x2,4,2,1,338,338,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,84,4x2,4,2,1,930,930,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,85,9x8,9,8,1,2063,2239,8.53,0,72,72,0,0,0,0,0,0,0,944,13.0
llama,rsLoRA,86,8x4,8,4,1,495,495,0.0,1,32,32,0,0,0,0,0,0,0,387,5.2
llama,rsLoRA,87,9x7,9,7,1,1884,2193,16.4,0,63,63,0,0,0,0,0,0,0,820,11.2
llama,rsLoRA,88,6x3,6,3,1,1328,1373,3.39,0,18,18,0,0,0,0,0,0,0,224,3.0
llama,rsLoRA,89,9x4,9,4,1,250,268,7.2,0,36,36,0,0,0,0,0,0,0,435,5.8
llama,rsLoRA,90,4x2,4,2,1,301,301,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,91,7x7,7,7,1,1685,1786,5.99,0,49,49,0,0,0,0,0,0,0,629,8.5
llama,rsLoRA,92,10x10,10,10,0,2329,4815,106.74,0,287,100,0,10,13,12,141,0,176,4096,63.6
llama,rsLoRA,93,8x7,8,7,1,2787,3077,10.41,0,56,56,0,0,0,0,0,0,0,747,10.1
llama,rsLoRA,94,5x2,5,2,1,177,177,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,rsLoRA,95,9x4,9,4,1,706,784,11.05,0,36,36,0,0,0,0,0,0,0,435,5.8
llama,rsLoRA,96,4x2,4,2,1,822,926,12.65,0,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,97,10x9,10,9,1,571,662,15.94,0,90,90,0,0,0,0,0,0,0,1083,15.1
llama,rsLoRA,98,5x3,5,3,1,422,422,0.0,1,15,15,0,0,0,0,0,0,0,183,2.5
llama,rsLoRA,99,6x2,6,2,1,895,1040,16.2,0,12,12,0,0,0,0,0,0,0,148,2.0
llama,rsLoRA,100,8x7,8,7,1,2448,2691,9.93,0,56,56,0,0,0,0,0,0,0,740,10.0
llama,rsLoRA,101,10x8,10,8,1,2704,3283,21.41,0,80,80,0,0,0,0,0,0,0,1071,14.8
llama,rsLoRA,102,9x7,9,7,1,999,1149,15.02,0,63,63,0,0,0,0,0,0,0,768,10.4
llama,rsLoRA,103,8x7,8,7,1,1063,1256,18.16,0,56,56,0,0,0,0,0,0,0,682,9.2
llama,rsLoRA,104,6x6,6,6,1,1136,1241,9.24,0,36,36,0,0,0,0,0,0,0,441,5.9
llama,rsLoRA,105,10x7,10,7,1,2374,2730,15.0,0,70,70,0,0,0,0,0,0,0,928,12.8
llama,rsLoRA,106,10x4,10,4,1,445,445,0.0,1,40,40,0,0,0,0,0,0,0,483,6.5
llama,rsLoRA,107,4x2,4,2,1,435,435,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,108,6x5,6,5,1,1605,1605,0.0,1,30,30,0,0,0,0,0,0,0,390,5.2
llama,rsLoRA,109,9x4,9,4,1,1757,1757,0.0,1,36,36,0,0,0,0,0,0,0,459,6.1
llama,rsLoRA,110,8x6,8,6,1,1637,1850,13.01,0,48,48,0,0,0,0,0,0,0,619,8.3
llama,rsLoRA,111,9x8,9,8,1,154,162,5.19,0,72,72,0,0,0,0,0,0,0,867,11.9
llama,rsLoRA,112,8x6,8,6,1,2959,3437,16.15,0,48,48,0,0,0,0,0,0,0,647,8.7
llama,rsLoRA,113,5x2,5,2,1,947,947,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,rsLoRA,114,10x2,10,2,1,958,1016,6.05,0,20,20,0,0,0,0,0,0,0,244,3.3
llama,rsLoRA,115,10x6,10,6,0,639,689,7.82,0,60,60,0,1,0,0,0,0,1,723,9.8
llama,rsLoRA,116,6x3,6,3,1,753,753,0.0,1,18,18,0,0,0,0,0,0,0,219,2.9
llama,rsLoRA,117,9x8,9,8,1,878,986,12.3,0,72,72,0,0,0,0,0,0,0,867,11.9
llama,rsLoRA,118,7x5,7,5,1,1561,1634,4.68,0,35,35,0,0,0,0,0,0,0,442,5.9
llama,rsLoRA,119,6x5,6,5,1,1504,1548,2.93,0,30,30,0,0,0,0,0,0,0,376,5.0
llama,rsLoRA,120,10x10,10,10,1,157,255,62.42,0,118,100,0,0,0,0,0,0,0,1419,20.2
llama,rsLoRA,121,7x4,7,4,1,1041,1212,16.43,0,28,28,0,0,0,0,0,0,0,348,4.6
llama,rsLoRA,122,9x3,9,3,1,53,55,3.77,0,27,27,0,0,0,0,0,0,0,327,4.3
llama,rsLoRA,123,7x3,7,3,1,356,356,0.0,1,21,21,0,0,0,0,0,0,0,255,3.4
llama,rsLoRA,124,9x6,9,6,1,486,572,17.7,0,54,54,0,0,0,0,0,0,0,651,8.8
llama,rsLoRA,125,7x4,7,4,1,1681,1778,5.77,0,28,28,0,0,0,0,0,0,0,360,4.8
llama,rsLoRA,126,6x3,6,3,1,890,890,0.0,1,18,18,0,0,0,0,0,0,0,219,2.9
llama,rsLoRA,127,9x3,9,3,1,1315,1315,0.0,1,27,27,0,0,0,0,0,0,0,335,4.5
llama,rsLoRA,128,9x9,9,9,1,520,593,14.04,0,81,81,0,0,0,0,0,0,0,975,13.5
llama,rsLoRA,129,5x3,5,3,1,972,972,0.0,1,15,15,0,0,0,0,0,0,0,183,2.5
llama,rsLoRA,130,7x5,7,5,1,58,58,0.0,1,35,35,0,0,0,0,0,0,0,423,5.7
llama,rsLoRA,131,4x2,4,2,1,59,59,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,132,8x8,8,8,0,2917,3587,22.97,0,64,64,0,1,0,0,0,0,1,851,11.6
llama,rsLoRA,133,10x10,10,10,0,3106,4038,30.01,0,114,100,0,5,9,3,2,0,19,1570,22.3
llama,rsLoRA,134,9x3,9,3,1,1271,1286,1.18,0,27,27,0,0,0,0,0,0,0,338,4.5
llama,rsLoRA,135,8x8,8,8,1,2891,3158,9.24,0,64,64,0,0,0,0,0,0,0,857,11.7
llama,rsLoRA,136,7x6,7,6,1,1810,1950,7.73,0,42,42,0,0,0,0,0,0,0,541,7.3
llama,rsLoRA,137,9x7,9,7,1,2875,3181,10.64,0,63,63,0,0,0,0,0,0,0,837,11.4
llama,rsLoRA,138,7x5,7,5,1,1493,1563,4.69,0,35,35,0,0,0,0,0,0,0,441,5.9
llama,rsLoRA,139,7x2,7,2,1,1230,1436,16.75,0,14,14,0,0,0,0,0,0,0,174,2.3
llama,rsLoRA,140,4x2,4,2,1,802,802,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,141,5x3,5,3,1,466,466,0.0,1,15,15,0,0,0,0,0,0,0,183,2.5
llama,rsLoRA,142,6x2,6,2,1,1434,1434,0.0,1,12,12,0,0,0,0,0,0,0,153,2.1
llama,rsLoRA,143,6x6,6,6,1,1654,1654,0.0,1,36,36,0,0,0,0,0,0,0,464,6.2
llama,rsLoRA,144,9x7,9,7,1,3094,3541,14.45,0,63,63,0,0,0,0,0,0,0,839,11.5
llama,rsLoRA,145,8x3,8,3,1,2117,2117,0.0,1,24,24,0,0,0,0,0,0,0,314,4.2
llama,rsLoRA,146,8x3,8,3,1,931,1040,11.71,0,24,24,0,0,0,0,0,0,0,292,3.9
llama,rsLoRA,147,5x4,5,4,1,1336,1336,0.0,1,20,20,0,0,0,0,0,0,0,254,3.4
llama,rsLoRA,148,10x8,10,8,1,3185,3792,19.06,0,80,80,0,0,0,0,0,0,0,1076,15.0
llama,rsLoRA,149,10x2,10,2,1,856,856,0.0,1,20,20,0,0,0,0,0,0,0,243,3.2
llama,rsLoRA,150,8x3,8,3,1,243,243,0.0,1,24,24,0,0,0,0,0,0,0,291,3.9
llama,rsLoRA,151,9x3,9,3,1,1376,1376,0.0,1,27,27,0,0,0,0,0,0,0,335,4.5
llama,rsLoRA,152,5x2,5,2,1,588,674,14.63,0,10,10,0,0,0,0,0,0,0,123,1.7
llama,rsLoRA,153,7x2,7,2,1,2058,2058,0.0,1,14,14,0,0,0,0,0,0,0,181,2.4
llama,rsLoRA,154,7x6,7,6,1,1331,1381,3.76,0,42,42,0,0,0,0,0,0,0,519,6.9
llama,rsLoRA,155,8x2,8,2,1,2328,2328,0.0,1,16,16,0,0,0,0,0,0,0,207,2.8
llama,rsLoRA,156,6x6,6,6,1,1639,1639,0.0,1,36,36,0,0,0,0,0,0,0,461,6.2
llama,rsLoRA,157,7x4,7,4,1,804,824,2.49,0,28,28,0,0,0,0,0,0,0,339,4.5
llama,rsLoRA,158,8x7,8,7,1,254,279,9.84,0,56,56,0,0,0,0,0,0,0,675,9.1
llama,rsLoRA,159,10x8,10,8,1,1617,1763,9.03,0,80,80,0,0,0,0,0,0,0,1013,14.0
llama,rsLoRA,160,10x4,10,4,1,801,862,7.62,0,40,40,0,0,0,0,0,0,0,483,6.5
llama,rsLoRA,161,8x8,8,8,1,1695,2005,18.29,0,64,64,0,0,0,0,0,0,0,837,11.4
llama,rsLoRA,162,6x6,6,6,1,1383,1422,2.82,0,36,36,0,0,0,0,0,0,0,449,6.0
llama,rsLoRA,163,7x7,7,7,1,2859,3407,19.17,0,49,49,0,0,0,0,0,0,0,661,8.9
llama,rsLoRA,164,10x2,10,2,1,873,873,0.0,1,20,20,0,0,0,0,0,0,0,243,3.2
llama,rsLoRA,165,5x3,5,3,1,543,543,0.0,1,15,15,0,0,0,0,0,0,0,183,2.5
llama,rsLoRA,166,4x4,4,4,1,412,460,11.65,0,16,16,0,0,0,0,0,0,0,195,2.6
llama,rsLoRA,167,10x2,10,2,1,583,583,0.0,1,20,20,0,0,0,0,0,0,0,243,3.2
llama,rsLoRA,168,9x7,9,7,1,615,659,7.15,0,63,63,0,0,0,0,0,0,0,759,10.3
llama,rsLoRA,169,5x2,5,2,1,545,545,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,rsLoRA,170,9x6,9,6,1,1799,1952,8.5,0,54,54,0,0,0,0,0,0,0,696,9.4
llama,rsLoRA,171,2x2,2,2,1,72,72,0.0,1,4,4,0,0,0,0,0,0,0,51,0.7
llama,rsLoRA,172,10x7,10,7,1,2254,2560,13.58,0,70,70,0,0,0,0,0,0,0,931,12.8
llama,rsLoRA,173,8x3,8,3,1,870,870,0.0,1,24,24,0,0,0,0,0,0,0,291,3.9
llama,rsLoRA,174,8x8,8,8,1,1258,1426,13.35,0,64,64,0,0,0,0,0,0,0,793,10.8
llama,rsLoRA,175,8x7,8,7,1,612,733,19.77,0,56,56,0,0,0,0,0,0,0,675,9.1
llama,rsLoRA,176,10x10,10,10,0,359,3557,890.81,0,300,100,0,0,0,16,1,0,17,4096,63.6
llama,rsLoRA,177,10x8,10,8,1,57,67,17.54,0,80,80,0,0,0,0,0,0,0,963,13.3
llama,rsLoRA,178,5x5,5,5,1,1420,1420,0.0,1,25,25,0,0,0,0,0,0,0,315,4.2
llama,rsLoRA,179,9x7,9,7,0,1867,2189,17.25,0,63,63,0,1,0,0,0,0,1,811,11.1
llama,rsLoRA,180,8x5,8,5,1,441,447,1.36,0,40,40,0,0,0,0,0,0,0,483,6.5
llama,rsLoRA,181,9x4,9,4,1,1052,1102,4.75,0,36,36,0,0,0,0,0,0,0,438,5.9
llama,rsLoRA,182,3x2,3,2,1,162,162,0.0,1,6,6,0,0,0,0,0,0,0,75,1.0
llama,rsLoRA,183,10x2,10,2,1,1527,1527,0.0,1,20,20,0,0,0,0,0,0,0,251,3.3
llama,rsLoRA,184,7x6,7,6,1,667,766,14.84,0,42,42,0,0,0,0,0,0,0,507,6.8
llama,rsLoRA,185,7x4,7,4,1,1851,1906,2.97,0,28,28,0,0,0,0,0,0,0,355,4.7
llama,rsLoRA,186,6x4,6,4,1,1335,1407,5.39,0,24,24,0,0,0,0,0,0,0,306,4.1
llama,rsLoRA,187,10x7,10,7,1,2042,2301,12.68,0,70,70,0,0,0,0,0,0,0,926,12.8
llama,rsLoRA,188,8x5,8,5,1,1700,1757,3.35,0,40,40,0,0,0,0,0,0,0,504,6.7
llama,rsLoRA,189,7x2,7,2,1,1390,1390,0.0,1,14,14,0,0,0,0,0,0,0,177,2.4
llama,rsLoRA,190,7x4,7,4,1,1296,1324,2.16,0,28,28,0,0,0,0,0,0,0,347,4.6
llama,rsLoRA,191,4x3,4,3,1,1451,1451,0.0,1,12,12,0,0,0,0,0,0,0,151,2.0
llama,rsLoRA,192,4x4,4,4,1,143,151,5.59,0,16,16,0,0,0,0,0,0,0,195,2.6
llama,rsLoRA,193,9x4,9,4,1,860,949,10.35,0,36,36,0,0,0,0,0,0,0,435,5.8
llama,rsLoRA,194,4x3,4,3,1,1187,1187,0.0,1,12,12,0,0,0,0,0,0,0,153,2.1
llama,rsLoRA,195,10x8,10,8,1,219,234,6.85,0,80,80,0,0,0,0,0,0,0,963,13.3
llama,rsLoRA,196,6x5,6,5,1,2582,2591,0.35,0,30,30,0,0,0,0,0,0,0,399,5.3
llama,rsLoRA,197,10x7,10,7,0,1876,2709,44.4,0,72,70,0,0,3,0,0,0,3,933,12.8
llama,rsLoRA,198,9x4,9,4,1,1888,2107,11.6,0,36,36,0,0,0,0,0,0,0,465,6.2
llama,rsLoRA,199,5x5,5,5,1,402,469,16.67,0,25,25,0,0,0,0,0,0,0,303,4.0
llama,rsLoRA,200,8x6,8,6,1,1622,1997,23.12,0,48,48,0,0,0,0,0,0,0,600,8.1
granite,LoRA,1,7x3,7,3,1,977,977,0.0,1,21,21,0,0,0,0,0,0,0,399,20.2
granite,LoRA,2,7x7,7,7,1,941,1079,14.67,0,49,49,0,0,0,0,0,0,0,937,39.5
granite,LoRA,3,6x2,6,2,1,1402,1402,0.0,1,12,12,0,0,0,0,0,0,0,236,10.0
granite,LoRA,4,6x3,6,3,1,1565,1616,3.26,0,18,18,0,0,0,0,0,0,0,372,15.8
granite,LoRA,5,5x4,5,4,1,1286,1294,0.62,0,20,20,0,0,0,0,0,0,0,399,17.0
granite,LoRA,6,6x2,6,2,1,449,449,0.0,1,12,12,0,0,0,0,0,0,0,223,9.5
granite,LoRA,7,8x5,8,5,1,462,581,25.76,0,40,40,0,0,0,0,0,0,0,732,31.0
granite,LoRA,8,6x3,6,3,1,498,498,0.0,1,18,18,0,0,0,0,0,0,0,337,14.3
granite,LoRA,9,8x4,8,4,1,1157,1157,0.0,1,32,32,0,0,0,0,0,0,0,620,26.2
granite,LoRA,10,3x2,3,2,1,71,71,0.0,1,6,6,0,0,0,0,0,0,0,100,4.3
granite,LoRA,11,3x3,3,3,1,146,146,0.0,1,9,9,0,0,0,0,0,0,0,155,6.6
granite,LoRA,12,4x2,4,2,1,409,409,0.0,1,8,8,0,0,0,0,0,0,0,150,6.4
granite,LoRA,13,6x3,6,3,1,1289,1289,0.0,1,18,18,0,0,0,0,0,0,0,361,15.4
granite,LoRA,14,4x2,4,2,1,525,525,0.0,1,8,8,0,0,0,0,0,0,0,153,6.5
granite,LoRA,15,10x5,10,5,1,854,864,1.17,0,50,50,0,0,0,0,0,0,0,943,39.8
granite,LoRA,16,8x5,8,5,1,2499,2838,13.57,0,40,40,0,0,0,0,0,0,0,831,35.4
granite,LoRA,17,9x8,9,8,0,1223,1488,21.67,0,80,72,0,4,6,1,10,0,21,1594,67.6
granite,LoRA,18,10x6,10,6,1,955,1022,7.02,0,60,60,0,0,0,0,0,0,0,1137,48.5
granite,LoRA,19,3x2,3,2,1,332,332,0.0,1,6,6,0,0,0,0,0,0,0,114,4.9
granite,LoRA,20,9x4,9,4,1,686,686,0.0,1,36,36,0,0,0,0,0,0,0,676,28.7
granite,LoRA,21,8x2,8,2,1,358,358,0.0,1,16,16,0,0,0,0,0,0,0,294,12.5
granite,LoRA,22,9x3,9,3,1,2396,2396,0.0,1,27,27,0,0,0,0,0,0,0,540,22.9
granite,LoRA,23,10x8,10,8,0,127,620,388.19,0,228,80,0,0,1,0,0,0,1,4096,173.4
granite,LoRA,24,9x6,9,6,1,2960,3342,12.91,0,54,54,0,0,0,0,0,0,0,1139,48.3
granite,LoRA,25,6x6,6,6,1,1402,1548,10.41,0,36,36,0,0,0,0,0,0,0,701,29.9
granite,LoRA,26,10x8,10,8,0,374,488,30.48,0,79,80,0,0,0,0,0,1,1,1439,60.9
granite,LoRA,27,8x4,8,4,1,2277,2498,9.71,0,32,32,0,0,0,0,0,0,0,662,28.1
granite,LoRA,28,9x8,9,8,0,490,1533,212.86,0,154,72,0,3,6,0,6,0,15,2948,124.5
granite,LoRA,29,5x2,5,2,1,755,755,0.0,1,10,10,0,0,0,0,0,0,0,192,8.2
granite,LoRA,30,10x6,10,6,1,2566,2925,13.99,0,60,60,0,0,0,0,0,0,0,1241,52.8
granite,LoRA,31,6x2,6,2,1,280,280,0.0,1,12,12,0,0,0,0,0,0,0,213,9.1
granite,LoRA,32,9x7,9,7,1,1651,2323,40.7,0,78,63,0,0,0,0,0,0,0,1596,68.0
granite,LoRA,33,9x2,9,2,1,300,300,0.0,1,18,18,0,0,0,0,0,0,0,324,13.9
granite,LoRA,34,7x5,7,5,1,1580,1778,12.53,0,35,35,0,0,0,0,0,0,0,711,30.1
granite,LoRA,35,8x8,8,8,1,427,546,27.87,0,64,64,0,0,0,0,0,0,0,1162,49.3
granite,LoRA,36,9x9,9,9,0,2614,13336,410.18,0,181,81,0,7,16,10,18,0,51,4096,174.2
granite,LoRA,37,10x5,10,5,1,65,67,3.08,0,50,50,0,0,0,0,0,0,0,794,33.6
granite,LoRA,38,9x3,9,3,1,521,557,6.91,0,27,27,0,0,0,0,0,0,0,500,21.3
granite,LoRA,39,4x2,4,2,1,309,309,0.0,1,8,8,0,0,0,0,0,0,0,150,6.4
granite,LoRA,40,10x5,10,5,1,2180,2180,0.0,1,50,50,0,0,0,0,0,0,0,1019,43.4
granite,LoRA,41,9x2,9,2,1,1709,1709,0.0,1,18,18,0,0,0,0,0,0,0,363,15.4
granite,LoRA,42,6x3,6,3,1,1271,1281,0.79,0,18,18,0,0,0,0,0,0,0,361,15.4
granite,LoRA,43,5x4,5,4,1,1442,1522,5.55,0,20,20,0,0,0,0,0,0,0,408,17.4
granite,LoRA,44,8x2,8,2,1,1525,1525,0.0,1,16,16,0,0,0,0,0,0,0,317,13.5
granite,LoRA,45,7x2,7,2,1,523,523,0.0,1,14,14,0,0,0,0,0,0,0,259,11.0
granite,LoRA,46,9x8,9,8,1,857,1029,20.07,0,72,72,0,0,0,0,0,0,0,1358,57.4
granite,LoRA,47,7x3,7,3,1,1019,1019,0.0,1,21,21,0,0,0,0,0,0,0,402,17.2
granite,LoRA,48,10x4,10,4,1,2597,2597,0.0,1,40,40,0,0,0,0,0,0,0,821,34.9
granite,LoRA,49,7x7,7,7,1,2987,2987,0.0,1,49,49,0,0,0,0,0,0,0,1037,43.9
granite,LoRA,50,6x6,6,6,1,2590,3102,19.77,0,36,36,0,0,0,0,0,0,0,752,32.0
granite,LoRA,51,9x2,9,2,1,1430,1430,0.0,1,18,18,0,0,0,0,0,0,0,351,15.0
granite,LoRA,52,4x3,4,3,1,435,435,0.0,1,12,12,0,0,0,0,0,0,0,230,9.8
granite,LoRA,53,10x2,10,2,1,1598,1598,0.0,1,20,20,0,0,0,0,0,0,0,393,16.8
granite,LoRA,54,9x8,9,8,1,422,542,28.44,0,72,72,0,0,0,0,0,0,0,1321,56.0
granite,LoRA,55,7x5,7,5,1,1365,1380,1.1,0,35,35,0,0,0,0,0,0,0,680,28.9
granite,LoRA,56,10x10,10,10,0,1077,3968,268.43,0,201,100,0,0,29,0,0,0,29,4096,174.1
granite,LoRA,57,10x9,10,9,0,242,1026,323.97,0,224,90,0,0,4,0,0,0,4,4096,173.5
granite,LoRA,58,6x2,6,2,1,727,727,0.0,1,12,12,0,0,0,0,0,0,0,232,9.9
granite,LoRA,59,7x3,7,3,1,861,938,8.94,0,21,21,0,0,0,0,0,0,0,405,17.2
granite,LoRA,60,10x10,10,10,0,2466,9033,266.3,0,190,100,0,0,22,4,0,0,26,4096,173.7
granite,LoRA,61,6x4,6,4,1,693,713,2.89,0,24,24,0,0,0,0,0,0,0,453,19.2
granite,LoRA,62,7x7,7,7,1,1466,1592,8.59,0,49,49,0,0,0,0,0,0,0,982,41.7
granite,LoRA,63,6x3,6,3,1,45,48,6.67,0,18,18,0,0,0,0,0,0,0,287,12.3
granite,LoRA,64,7x6,7,6,1,1819,2127,16.93,0,42,42,0,0,0,0,0,0,0,866,36.8
granite,LoRA,65,10x6,10,6,0,591,744,25.89,0,59,60,0,0,0,0,0,1,1,1085,46.2
granite,LoRA,66,10x8,10,8,0,532,611,14.85,0,77,80,0,0,4,0,0,3,7,1410,59.9
granite,LoRA,67,6x6,6,6,1,1064,1228,15.41,0,36,36,0,0,0,0,0,0,0,700,29.8
granite,LoRA,68,6x3,6,3,1,1157,1324,14.43,0,18,18,0,0,0,0,0,0,0,350,14.9
granite,LoRA,69,3x2,3,2,1,1121,1121,0.0,1,6,6,0,0,0,0,0,0,0,120,5.1
granite,LoRA,70,5x2,5,2,1,545,655,20.18,0,10,10,0,0,0,0,0,0,0,191,8.1
granite,LoRA,71,5x5,5,5,1,1016,1179,16.04,0,25,25,0,0,0,0,0,0,0,487,20.7
granite,LoRA,72,7x2,7,2,1,674,674,0.0,1,14,14,0,0,0,0,0,0,0,265,11.3
granite,LoRA,73,6x5,6,5,1,340,360,5.88,0,30,30,0,0,0,0,0,0,0,546,23.1
granite,LoRA,74,6x5,6,5,1,329,344,4.56,0,30,30,0,0,0,0,0,0,0,544,23.0
granite,LoRA,75,5x2,5,2,1,1621,1621,0.0,1,10,10,0,0,0,0,0,0,0,199,8.5
granite,LoRA,76,5x5,5,5,1,744,823,10.62,0,25,25,0,0,0,0,0,0,0,481,20.3
granite,LoRA,77,10x8,10,8,0,2435,7174,194.62,0,190,80,0,12,34,2,45,0,93,4096,173.5
granite,LoRA,78,2x2,2,2,1,698,698,0.0,1,4,4,0,0,0,0,0,0,0,77,3.3
granite,LoRA,79,8x6,8,6,1,1414,1650,16.69,0,48,48,0,0,0,0,0,0,0,949,40.1
granite,LoRA,80,8x5,8,5,1,2241,2314,3.26,0,40,40,0,0,0,0,0,0,0,825,35.0
granite,LoRA,81,3x2,3,2,1,364,364,0.0,1,6,6,0,0,0,0,0,0,0,116,5.0
granite,LoRA,82,10x8,10,8,0,4012,9846,145.41,0,183,80,0,28,39,7,64,0,138,4096,173.1
granite,LoRA,83,4x2,4,2,1,338,338,0.0,1,8,8,0,0,0,0,0,0,0,151,6.4
granite,LoRA,84,4x2,4,2,1,930,930,0.0,1,8,8,0,0,0,0,0,0,0,157,6.7
granite,LoRA,85,9x8,9,8,0,2063,12848,522.78,0,181,72,0,0,1,8,0,0,9,4096,173.6
granite,LoRA,86,8x4,8,4,1,495,495,0.0,1,32,32,0,0,0,0,0,0,0,593,25.2
granite,LoRA,87,9x7,9,7,1,1884,2159,14.6,0,63,63,0,0,0,0,0,0,0,1286,54.6
granite,LoRA,88,6x3,6,3,1,1328,1328,0.0,1,18,18,0,0,0,0,0,0,0,355,15.1
granite,LoRA,89,9x4,9,4,1,250,250,0.0,1,36,36,0,0,0,0,0,0,0,643,27.3
granite,LoRA,90,4x2,4,2,1,301,378,25.58,0,8,8,0,0,0,0,0,0,0,150,6.4
granite,LoRA,91,7x7,7,7,1,1685,1817,7.83,0,49,49,0,0,0,0,0,0,0,999,42.2
granite,LoRA,92,10x10,10,10,0,2329,9611,312.67,0,185,100,0,2,33,8,6,0,49,4096,172.9
